metodo,intento,tamaño,pasos,h,tiempo en s,,metodo,tamaño,porcentaje de exito,promedio de tiempo en s,desviación estandar,promedio de pasos,desviacion estandar de pasos
hc,19,10,5,0,"6,033849001",,,,,,,,
hc,20,10,2,3,"3,022998095",,,,,,,,
hc,21,10,4,2,"5,033818245",,,,,,,,
hc,22,10,6,1,"7,034390926",,,,,,,,
hc,23,10,3,2,"4,026484966",,,,,,,,
hc,24,10,5,1,"6,034943819",,,,,,,,
hc,25,10,3,0,"4,029857874",,,,,,,,
hc,26,10,4,2,"5,034425974",,,,,,,,
hc,27,10,4,2,"5,030148029",,,,,,,,
hc,28,10,5,1,"6,034456968",,,,,,,,
hc,29,10,4,2,"5,032786846",,,,,,,,
hc,0,12,5,3,"6,057257891",,,,,,,,
hc,1,12,6,2,"7,05532527",,,,,,,,
hc,2,12,3,1,"4,036864996",,,,,,,,
hc,3,12,5,3,"6,054655075",,,,,,,,
hc,4,12,3,3,"4,039644957",,,,,,,,
hc,5,12,5,2,"6,055600882",,,,,,,,
hc,6,12,3,1,"4,034941196",,,,,,,,
hc,7,12,5,2,"6,058511972",,,,,,,,
hc,8,12,4,3,"5,049408913",,,,,,,,
hc,9,12,7,1,"8,065964222",,,,,,,,
hc,10,12,6,3,"7,061644077",,,,,,,,
hc,11,12,6,1,"7,066536903",,,,,,,,
hc,12,12,6,0,"7,05833292",,,,,,,,
hc,13,12,5,1,"6,052536011",,,,,,,,
hc,14,12,4,2,"5,048729181",,,,,,,,
hc,15,12,6,1,"7,057279825",,,,,,,,
hc,16,12,6,2,"7,061960936",,,,,,,,
hc,17,12,4,1,"5,03738904",,,,,,,,
hc,18,12,4,1,"5,043228149",,,,,,,,
hc,19,12,8,1,"9,079385042",,,,,,,,
hc,20,12,6,2,"7,058935881",,,,,,,,
hc,21,12,4,2,"5,046177149",,,,,,,,
hc,22,12,4,3,"5,039563894",,,,,,,,
hc,23,12,5,2,"6,060657263",,,,,,,,
hc,24,12,4,3,"5,045331001",,,,,,,,
hc,25,12,4,3,"5,044070005",,,,,,,,
hc,26,12,4,2,"5,046620131",,,,,,,,
hc,27,12,4,2,"5,042425156",,,,,,,,
